url,title,image,price,description,variant,combined
https://canawineco.com/collections/whiskey/products/eagle-rare-10-year-kentucky-straight-bourbon-whiskey,Eagle Rare 10 Year Single Barrel Kentucky Straight Bourbon Whiskey,//canawineco.com/cdn/shop/files/Untitleddesign-2024-06-12T103720.928_700x700.png?v=1718206659,$74.99,"*Strict 3 bottle limit due to limited supply ** No further discounts Experience the pinnacle of bourbon craftsmanship with Eagle Rare 10 Year Single Barrel Kentucky Straight Bourbon Whiskey, exclusively available at Cana Wine Co. This luxurious, award-winning bourbon boasts a sophisticated blend of oaky vanilla, rich caramel, and a hint of bold spices, all meticulously aged for a decade. Each sip reveals unparalleled depth and character, making it the perfect choice for discerning connoisseurs and special occasions alike. Elevate your spirits collection with the distinguished elegance of Eagle Rare 10 Year Single Barrel, where every bottle is a masterpiece of tradition and excellence. Size:  750ml Proof:  90 (45% ABV) Age:  10 Year Origin:  Kentucky  Distillery:  Buffalo Trace", 750ml,"eagle rare 10 year single barrel kentucky straight bourbon whiskey *strict 3 bottle limit due limited supply ** discounts experience pinnacle bourbon craftsmanship eagle rare 10 year single barrel kentucky straight bourbon whiskey, exclusively available cana wine co. luxurious, award-winning bourbon boasts sophisticated blend oaky vanilla, rich caramel, hint bold spices, meticulously aged decade. sip reveals unparalleled depth character, making perfect choice discerning connoisseurs special occasions alike. elevate spirits collection distinguished elegance eagle rare 10 year single barrel, every bottle masterpiece tradition excellence. size: 750ml proof: 90 (45% abv) age: 10 year origin: kentucky distillery: buffalo trace 750ml"
https://canawineco.com/collections/whiskey/products/michters-limited-release-toasted-barrel-finish-kentucky-sour-mash-2022-release,2022 Michter's US-1 Limited Release Toasted Barrel Finish Sour Mash Bourbon Whiskey,//canawineco.com/cdn/shop/files/Untitleddesign-2024-06-13T164000.744_700x700.png?v=1718314807,$249.99,"Indulge in the exceptional 2022 Michter's US-1 Limited Release Toasted Barrel Finish Sour Mash Bourbon Whiskey, an exquisite blend that elevates the art of whiskey making. This luxurious bourbon boasts a unique toasted barrel finish, imparting rich, complex flavors of caramel, vanilla, and warm spices, perfectly balanced with a smooth, lingering finish. Crafted with meticulous attention to detail, each sip offers a tantalizing journey for the senses, making it a must-have for discerning connoisseurs. Available exclusively at Cana Wine Co., this limited release is a true testament to Michter's dedication to quality and tradition. Size:  750ml Proof:  86 (43% ABV)  (ABV Varies) Origin:  Kentucky Distillery:  Michter's Distillery", 750ml,"2022 michter's us-1 limited release toasted barrel finish sour mash bourbon whiskey indulge exceptional 2022 michter's us-1 limited release toasted barrel finish sour mash bourbon whiskey, exquisite blend elevates art whiskey making. luxurious bourbon boasts unique toasted barrel finish, imparting rich, complex flavors caramel, vanilla, warm spices, perfectly balanced smooth, lingering finish. crafted meticulous attention detail, sip offers tantalizing journey senses, making must-have discerning connoisseurs. available exclusively cana wine co., limited release true testament michter's dedication quality tradition. size: 750ml proof: 86 (43% abv) (abv varies) origin: kentucky distillery: michter's distillery 750ml"
https://canawineco.com/collections/whiskey/products/michters-10-year-old-single-barrel-bourbon-2023-release,2023 Michter's 10 Year Old Single Barrel Bourbon Whiskey,//canawineco.com/cdn/shop/files/Untitleddesign-2024-06-13T164119.160_700x700.png?v=1718314885,$449.99,"Indulge in the exquisite sophistication of 2023 Michter's 10 Year Old Single Barrel Bourbon Whiskey, exclusively available at Cana Wine Co. This meticulously crafted bourbon boasts a decade of aging, offering a rich tapestry of flavors with notes of vanilla, caramel, and oak, culminating in a velvety, smooth finish. Perfect for the discerning connoisseur, each sip reveals the dedication to quality and tradition that Michter's is renowned for. Elevate your collection with this luxurious, limited edition bourbon, and savor the timeless elegance in every glass. Size:  750ml Proof:  94.4 (47.2% ABV) Age:  10 Year Origin:  Kentucky Distillery:  Michter's ", 750ml,"2023 michter's 10 year old single barrel bourbon whiskey indulge exquisite sophistication 2023 michter's 10 year old single barrel bourbon whiskey, exclusively available cana wine co. meticulously crafted bourbon boasts decade aging, offering rich tapestry flavors notes vanilla, caramel, oak, culminating velvety, smooth finish. perfect discerning connoisseur, sip reveals dedication quality tradition michter's renowned for. elevate collection luxurious, limited edition bourbon, savor timeless elegance every glass. size: 750ml proof: 94.4 (47.2% abv) age: 10 year origin: kentucky distillery: michter's 750ml"
https://canawineco.com/collections/whiskey/products/colonel-e-h-taylor-small-batch-bottled-in-bond-straight-kentucky-bourbon-whiskey,Colonel E.H.Taylor Small Batch Bottled in Bond Straight Kentucky Bourbon Whiskey,//canawineco.com/cdn/shop/files/Untitleddesign_15_700x700.png?v=1717443015,$123.99,"Experience the legacy of Colonel E.H. Taylor Small Batch Bottled in Bond Straight Kentucky Bourbon Whiskey, a masterpiece crafted with unwavering dedication. This exceptional bourbon offers a symphony of rich caramel, toasted oak, and subtle spice, delivering a velvety finish that lingers on the palate. Bottled at 100 proof and aged to perfection, it embodies the timeless traditions of one of bourbon’s most revered pioneers. Elevate your collection with this distinguished spirit, a testament to luxury and heritage, available exclusively at Cana Wine Co. Size:  750ml Proof:  100 (50% ABV) Origin:  United States Distillery:  Buffalo Trace Distillery", 750ml,"colonel e.h.taylor small batch bottled bond straight kentucky bourbon whiskey experience legacy colonel e.h. taylor small batch bottled bond straight kentucky bourbon whiskey, masterpiece crafted unwavering dedication. exceptional bourbon offers symphony rich caramel, toasted oak, subtle spice, delivering velvety finish lingers palate. bottled 100 proof aged perfection, embodies timeless traditions one bourbon’s revered pioneers. elevate collection distinguished spirit, testament luxury heritage, available exclusively cana wine co. size: 750ml proof: 100 (50% abv) origin: united states distillery: buffalo trace distillery 750ml"
https://canawineco.com/collections/whiskey/products/weller-antique-107-straight-wheated-bourbon-gold-cap,W. L. Weller Old Weller Antique 107 Kentucky Straight Wheated Bourbon Whiskey,//canawineco.com/cdn/shop/files/image_3da3dd10-1560-4bd4-bd84-cd6e57068275_590x590.jpg?v=1712081255,$145.99,"Experience the rich heritage of Kentucky with W. L. Weller's 'Old Weller Antique 107' Kentucky Straight Wheated Bourbon Whiskey. This exquisite bourbon offers a bold 107 proof, delivering a robust and full-bodied flavor profile with deep notes of caramel, vanilla, and oak. Crafted with a unique wheated recipe, it provides a smooth, velvety finish that delights the palate. Perfect for bourbon enthusiasts seeking a premium, high-quality whiskey, 'Old Weller Antique 107' is a timeless classic that embodies the spirit of American craftsmanship. Elevate your collection with this exceptional offering from W. L. Weller. *Gold Cap Size:  750ml Proof:  107 (53.5% ABV) Distillery:  Buffalo Trace", 750ml,"w. l. weller old weller antique 107 kentucky straight wheated bourbon whiskey experience rich heritage kentucky w. l. weller's 'old weller antique 107' kentucky straight wheated bourbon whiskey. exquisite bourbon offers bold 107 proof, delivering robust full-bodied flavor profile deep notes caramel, vanilla, oak. crafted unique wheated recipe, provides smooth, velvety finish delights palate. perfect bourbon enthusiasts seeking premium, high-quality whiskey, 'old weller antique 107' timeless classic embodies spirit american craftsmanship. elevate collection exceptional offering w. l. weller. *gold cap size: 750ml proof: 107 (53.5% abv) distillery: buffalo trace 750ml"
https://canawineco.com/collections/whiskey/products/crown-royal-limited-edition-kansas-city-chiefs-canadian-whiskey,2023 Crown Royal Fine Deluxe Kansas City Chiefs Limited Edition Blended Canadian Whisky,//canawineco.com/cdn/shop/products/image_d91a9503-0ea4-4cf7-b894-1c6125bf98b1_700x700.jpg?v=1676306615,$159.99,"Celebrate your Kansas City Chiefs pride with the 2023 Crown Royal Fine Deluxe Kansas City Chiefs Limited Edition Blended Canadian Whisky, now available at Cana Wine Co., the premier destination for high-end and luxury spirits. This exquisite blend, crafted with the utmost precision, offers a harmonious balance of rich, creamy vanilla, and subtle notes of oak, perfectly embodying the royal heritage of Crown Royal. The limited edition bottle, adorned with the Chiefs' iconic logo, makes it a must-have for fans and collectors alike. Indulge in the exceptional smoothness and elegance of this whisky, ideal for savoring on game days or gifting to fellow enthusiasts. Don't miss the chance to own this exclusive piece of Chiefs memorabilia, available only at Cana Wine Co. Size:  750ml Proof:  80 (40% ABV) Origin:  Manitoba Distillery:  Crown Royal", 750ml,"2023 crown royal fine deluxe kansas city chiefs limited edition blended canadian whisky celebrate kansas city chiefs pride 2023 crown royal fine deluxe kansas city chiefs limited edition blended canadian whisky, available cana wine co., premier destination high-end luxury spirits. exquisite blend, crafted utmost precision, offers harmonious balance rich, creamy vanilla, subtle notes oak, perfectly embodying royal heritage crown royal. limited edition bottle, adorned chiefs' iconic logo, makes must-have fans collectors alike. indulge exceptional smoothness elegance whisky, ideal savoring game days gifting fellow enthusiasts. miss chance exclusive piece chiefs memorabilia, available cana wine co. size: 750ml proof: 80 (40% abv) origin: manitoba distillery: crown royal 750ml"
https://canawineco.com/collections/whiskey/products/blantons-original-single-barrel-bourbon-whiskey-93-proof,Blanton's Original Single Barrel Bourbon Whiskey,//canawineco.com/cdn/shop/files/image_b18a4997-b813-461d-8133-d431cdbad34a_500x500.jpg?v=1718733551,$149.99,"Discover the pinnacle of bourbon craftsmanship with Blanton's The Original Single Barrel Kentucky Straight Bourbon Whiskey. Meticulously handcrafted and aged in the heart of Kentucky, each bottle represents a unique expression of rich caramel and vanilla flavors, balanced with hints of oak and a smooth, velvety finish. With its distinctive horse and jockey stopper and a legacy dating back to 1984, Blanton's is a true connoisseur's choice, embodying the artistry and tradition of America's finest bourbon. Perfectly suited for savoring neat or crafting classic cocktails, this iconic spirit promises an unforgettable experience with every sip. Size:  750ml Proof:  93 (46.5% ABV) Origin:  Kentucky Distillery:  Buffalo Trace", 750ml,"blanton's original single barrel bourbon whiskey discover pinnacle bourbon craftsmanship blanton's original single barrel kentucky straight bourbon whiskey. meticulously handcrafted aged heart kentucky, bottle represents unique expression rich caramel vanilla flavors, balanced hints oak smooth, velvety finish. distinctive horse jockey stopper legacy dating back 1984, blanton's true connoisseur's choice, embodying artistry tradition america's finest bourbon. perfectly suited savoring neat crafting classic cocktails, iconic spirit promises unforgettable experience every sip. size: 750ml proof: 93 (46.5% abv) origin: kentucky distillery: buffalo trace 750ml"
https://canawineco.com/collections/whiskey/products/weller-full-proof-single-barrel-wheated-bourbon-blue-label,W. L. Weller Full Proof Blue Label Kentucky Straight Wheated Bourbon Whiskey,//canawineco.com/cdn/shop/files/Untitleddesign-2024-06-04T160025.168_700x700.png?v=1717534832,$274.99,"William Larue Weller developed his original bourbon recipe with wheat, rather than rye. Bottled at the same 114 proof the spirit was when it entered into the barrel, this non-chill filtered wheated bourbon forgoes chill filtration to preserve all the naturally occurring residual oils and flavors that occur during the distillation and aging process (potentially making it appear cloudy at cold temperatures). This bourbon balances a rich mouth feel, with robust notes of vanilla and oak. A whiskey that satisfies the demand of the non-chill filtered whiskey enthusiasts, honoring the man who made wheated bourbon legendary. Size:  750ml Proof:  114 (57% ABV) Distillery:  Buffalo Trace", 750ml,"w. l. weller full proof blue label kentucky straight wheated bourbon whiskey william larue weller developed original bourbon recipe wheat, rather rye. bottled 114 proof spirit entered barrel, non-chill filtered wheated bourbon forgoes chill filtration preserve naturally occurring residual oils flavors occur distillation aging process (potentially making appear cloudy cold temperatures). bourbon balances rich mouth feel, robust notes vanilla oak. whiskey satisfies demand non-chill filtered whiskey enthusiasts, honoring man made wheated bourbon legendary. size: 750ml proof: 114 (57% abv) distillery: buffalo trace 750ml"
https://canawineco.com/collections/whiskey/products/eagle-rare-10-year-kentucky-straight-bourbon-whiskey-1-75ltr,Eagle Rare 10 Year Old Single Barrel Kentucky Straight Bourbon Whiskey 1.75Lt,//canawineco.com/cdn/shop/files/Untitleddesign-2024-06-12T102544.947_700x700.png?v=1718205952,$155.00,"Discover the refined elegance of Eagle Rare 10 Year Single Barrel Kentucky Straight Bourbon Whiskey. Aged for a decade, this distinguished bourbon features a deep amber hue and a rich, complex palate with notes of toffee, leather, and oak. Each sip reveals a smooth, lingering finish, embodying the meticulous craftsmanship and heritage of Eagle Rare. Perfect for bourbon aficionados seeking sophistication and depth, this single barrel expression promises an exceptional tasting experience. Elevate your collection with this iconic bourbon, available exclusively at Cana Wine Co. Size:  1.75L Proof:  90 (45% ABV) Origin:  Kentucky Distillery:  Buffalo Trace ", 1.75L,"eagle rare 10 year old single barrel kentucky straight bourbon whiskey 1.75lt discover refined elegance eagle rare 10 year single barrel kentucky straight bourbon whiskey. aged decade, distinguished bourbon features deep amber hue rich, complex palate notes toffee, leather, oak. sip reveals smooth, lingering finish, embodying meticulous craftsmanship heritage eagle rare. perfect bourbon aficionados seeking sophistication depth, single barrel expression promises exceptional tasting experience. elevate collection iconic bourbon, available exclusively cana wine co. size: 1.75l proof: 90 (45% abv) origin: kentucky distillery: buffalo trace 1.75l"
https://canawineco.com/collections/whiskey/products/weller-special-reserve-bourbon-750ml,W. L. Weller Special Reserve Kentucky Straight Wheated Bourbon Whiskey,//canawineco.com/cdn/shop/files/Untitleddesign-2024-06-21T113835.874_700x700.png?v=1718987949,$69.99,"Discover the exquisite craftsmanship of W. L. Weller Special Reserve Kentucky Straight Wheated Bourbon Whiskey. A true connoisseur's choice, this distinguished spirit offers a smooth, velvety palate with notes of vanilla, caramel, and a hint of dried fruit. Perfectly balanced and aged to perfection, it embodies the rich heritage of Kentucky bourbon-making. Ideal for enthusiasts and collectors alike, Weller Special Reserve promises an unparalleled sipping experience, whether enjoyed neat or in a classic cocktail. Size:  750ml Proof:  90 (45% ABV) Distillery:  Buffalo Trace", 750ml,"w. l. weller special reserve kentucky straight wheated bourbon whiskey discover exquisite craftsmanship w. l. weller special reserve kentucky straight wheated bourbon whiskey. true connoisseur's choice, distinguished spirit offers smooth, velvety palate notes vanilla, caramel, hint dried fruit. perfectly balanced aged perfection, embodies rich heritage kentucky bourbon-making. ideal enthusiasts collectors alike, weller special reserve promises unparalleled sipping experience, whether enjoyed neat classic cocktail. size: 750ml proof: 90 (45% abv) distillery: buffalo trace 750ml"
